,GEOID,popdensity,medhouseholdincome,pct_blk,hispanic,pct_owner_occ,education
784,18175,54.17091187,47078,0.000862472,0.013260502,0.782672811,0.154402581
785,18177,165.8060165,44228,0.05249726,0.029258553,0.672425683,0.132411197
786,18179,75.92530783,56265,0.007227967,0.029054997,0.788404453,0.088972697
787,18181,47.94137183,55086,0.00437709,0.081471693,0.762858023,0.113633641
788,18183,100.2711281,61153,0.004130881,0.020060032,0.822936697,0.073037572
789,19001,12.51431603,51859,0.003790006,0.018950028,0.765492102,0.057684787
790,19003,8.799545089,49229,0.004294149,0.012614063,0.775510204,0.059259259
791,19005,21.7200533,51057,0.012536023,0.063688761,0.776561163,0.123451693
792,19007,25.15639113,41111,0.005915268,0.019104716,0.717256087,0.091398452
793,19009,12.72577436,50397,0.003547987,0.006563775,0.813909056,0.101764564
794,19011,35.78555718,65475,0.006048544,0.014477484,0.807901378,0.061400034
795,19013,235.0958612,52688,0.090993843,0.043139938,0.67941681,0.086873394
796,19015,46.18798254,61111,0.00511383,0.025947953,0.751957494,0.057071692
797,19017,56.90770492,68023,0.010410782,0.01533371,0.796590304,0.03815999
798,19019,36.99148814,61409,0.00104142,0.015195266,0.789241515,0.058794042
799,19021,35.24112781,54556,0.027196446,0.25207305,0.7014092,0.222465925
800,19023,25.39924057,55999,0.005700713,0.013165931,0.816013072,0.073048827
801,19025,17.16260769,50800,0.012372188,0.018609407,0.798679868,0.059518724
802,19027,35.72667899,57674,0.001720409,0.007225718,0.746976851,0.06464705
803,19029,23.37769603,48178,0.003032371,0.02471382,0.724247492,0.117765743
804,19031,31.83141724,65791,0.007373272,0.019409054,0.785913993,0.051220827
805,19033,75.63646956,52902,0.017332031,0.047319933,0.710852713,0.069109538
806,19035,19.87852682,54658,0.023456575,0.012818277,0.758018053,0.074491279
807,19037,23.99065022,55385,0.00512439,0.02438218,0.810146042,0.077393808
808,19039,21.52774423,51571,0.000646412,0.132191338,0.713050527,0.108795928
809,19041,28.75878776,47874,0.006620487,0.034757555,0.706399341,0.065093927
810,19043,22.70027817,52828,0.010242191,0.019182888,0.765758652,0.088130493
811,19045,67.94830229,50156,0.026727096,0.03056038,0.726647876,0.089369766
812,19047,23.98813418,53609,0.025566192,0.277725893,0.731015126,0.222232175
813,19049,142.7835536,84790,0.016201995,0.06095093,0.783835182,0.04676804
814,19051,17.69264542,58464,0.000562746,0.013956106,0.800687285,0.16780086
815,19053,15.12373332,42614,0.015788165,0.028219791,0.704623022,0.11309891
