"","GEOID","FIPS","pm25_2014","pm25_2015","pm25_2016","pm25_2017","pm25_2018"
"829","49045","49045",3.63646730901092,4.44806401283782,3.69410530026569,3.66046645067562,3.67434933009169
"830","49049","49049",4.02926281361561,3.87483185636667,3.50880447161437,3.40570032948354,3.75128301631176
"831","49005","49005",3.33538356668018,3.14808511203107,3.27738582013405,3.64810458597249,3.21963756355763
"832","49057","49057",3.79858694339748,3.72079893056362,4.02089150740962,4.03613023348033,4.00597460083455
"833","49003","49003",3.61159415617851,4.31651236167822,4.02319007995098,4.16249920382777,3.94106103297348
"834","50027","50027",4.9629884738359,4.53774328112198,3.18680951840623,3.21784813404134,2.76937284313254
"835","49029","49029",3.0509556686367,2.68116378303946,2.67922885703632,2.57947418854825,2.50061450399181
"836","20101","20101",4.9636039837453,4.98446073878369,4.24455265778237,3.99723856014532,5.2430260035634
"837","01065","1065",9.03724657799293,8.68379200847028,8.34400348933384,7.54401028457175,7.50029967221633
"838","21007","21007",9.55960399845032,8.71003393195569,7.93385270753889,6.89076176982268,8.08825647112887
"839","21003","21003",8.82484537991448,7.18482994829824,8.00676441787138,6.47854384749641,7.2896627172296
"840","48051","48051",7.32883535686524,6.93644871541998,6.86500841782764,5.35117935138895,6.48438964268249
"841","28113","28113",7.20107160526068,6.57939116114568,5.97957413730767,5.35766399309749,5.66745398736736
"842","28007","28007",7.68832145194317,6.70616569887672,6.42264680234728,5.43472203412015,5.87299840864742
"843","48301","48301",6.124530412554,5.83729385075298,5.92446928597392,5.29690446695482,5.12249010136651
"844","19009","19009",7.16647800180165,7.16988401839157,6.07064903668039,5.76724616507323,5.91544165880422
"845","19063","19063",6.00164316204377,5.71095363540528,4.67175054865963,4.49544531492373,4.43003410032128
"846","13001","13001",8.17653937278903,7.30346831852175,8.14761133238082,6.87109256563799,6.88087012688141
"847","36081","36081",8.52329227553194,8.76405452534238,7.8252770464709,6.50627383313477,7.63551746496739
"848","42067","42067",8.23177639292688,8.63553705270211,7.47435015681857,6.39210575094728,6.41472972445134
"849","42055","42055",8.1882415169085,8.31264623511601,7.17933392620318,5.87147136126061,6.58794527772565
"850","40079","40079",6.99453807051262,6.288963709106,6.04671204912487,5.62778436829723,5.86827396658927
"851","41019","41019",2.76391384967228,4.00891081121922,1.36624187103255,4.014130385723,4.64393680275413
"852","41045","41045",3.57091774133617,5.15268241188312,2.896864534618,4.24959336616632,4.18239700067658
"853","41043","41043",2.98002609785618,3.62502031343515,1.7675324465267,3.66973068914867,3.02284263016111
"854","42023","42023",6.01280686725698,5.88466794522087,4.94184424340558,4.42732959964216,3.96439714682285
"855","13303","13303",8.63300629836844,7.32637752957428,8.08271185055208,6.69733645604016,6.60949238469289
"856","16031","16031",3.38237167296519,3.89803139848533,3.39832906064701,4.47111081098278,3.74918591398433
"857","16015","16015",2.97500644805145,3.58745612937135,2.64991311896001,3.9729217286898,1.89952221580273
"858","16039","16039",3.47209044356022,4.51650714433406,3.55982667596013,4.72517973586609,3.35077034754941
"859","13027","13027",7.96502290435012,7.79724745526295,7.9143234072455,7.2142739439848,6.8275645392664
"860","13305","13305",8.1341017838682,7.31512335210264,8.07796340636571,6.90222990574933,6.6462399833288
